Pathway_ID,Pathway_Name,Genes
R-HSA-111465,Apoptotic cleavage of cellular proteins,"ACIN1,ADD1,APC,BCAP31,BIRC2,BMX,CASP3,CASP6,CASP7,CASP8,CDH1,CLSPN,CTNNB1,DBNL,DSG1,DSG2,DSG3,DSP,FNTA,GAS2,GSN,LMNA,LMNB1,MAPT,OCLN,PKP1,PLEC,PRKCD,PRKCQ,PTK2,ROCK1,SATB1,SPTAN1,STK24,STK26,TJP1,TJP2,VIM"
R-HSA-111471,Apoptotic factor-mediated response,"APAF1,APIP,AVEN,BAK1,BAX,C1QBP,CARD8,CASP3,CASP7,CASP9,CDKN2A,CYCS,DIABLO,GSDMD,GSDME,MAPK1,MAPK3,SEPTIN4,UACA,XIAP"
R-HSA-111885,Opioid Signalling,"ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,AHCYL1,CALM1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CDK5,CREB1,GNA11,GNA14,GNA15,GNAI1,GNAI2,GNAI3,GNAL,GNAQ,GNAT3,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,GRK2,ITPR1,ITPR2,ITPR3,KPNA2,MAPK1,NBEA,OPRM1,PDE1A,PDE1B,PDE1C,PDE4A,PDE4B,PDE4C,PDE4D,PDYN,PLA2G4A,PLCB1,PLCB2,PLCB3,PLCB4,POMC,PPP1CA,PPP1R1B,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5D,PPP3CA,PPP3CB,PPP3CC,PPP3R1,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,PRKCD,PRKCG,PRKX"
R-HSA-111931,PKA-mediated phosphorylation of CREB,"ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,CALM1,CREB1,NBEA,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKX"
R-HSA-111933,Calmodulin induced events,"ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,CALM1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CREB1,GRK2,KPNA2,NBEA,PDE1A,PDE1B,PDE1C,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,PRKCD,PRKCG,PRKX"
R-HSA-112040,G-protein mediated events,"ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,AHCYL1,CALM1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CREB1,GNA11,GNA14,GNA15,GNAI1,GNAI2,GNAI3,GNAL,GNAQ,GNAT3,GRK2,ITPR1,ITPR2,ITPR3,KPNA2,MAPK1,NBEA,PDE1A,PDE1B,PDE1C,PLA2G4A,PLCB1,PLCB2,PLCB3,PLCB4,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,PRKCD,PRKCG,PRKX"
R-HSA-112310,Neurotransmitter release cycle,"ABAT,ALDH5A1,APBA1,ARL6IP5,CASK,CHAT,CPLX1,DNAJC5,GAD1,GAD2,GLS,GLS2,HSPA8,LIN7A,LIN7B,LIN7C,MAOA,NAAA,PPFIA1,PPFIA2,PPFIA3,PPFIA4,RAB3A,RIMS1,SLC17A7,SLC18A2,SLC18A3,SLC1A1,SLC1A2,SLC1A3,SLC1A6,SLC1A7,SLC22A1,SLC22A2,SLC32A1,SLC38A2,SLC5A7,SLC6A1,SLC6A11,SLC6A12,SLC6A13,SNAP25,STX1A,STXBP1,SYN1,SYN2,SYN3,SYT1,TSPOAP1,UNC13B,VAMP2"
R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,"ACTN2,ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,AKAP5,AP2A1,AP2A2,AP2B1,AP2M1,AP2S1,APBA1,ARHGEF7,ARHGEF9,CACNG2,CACNG3,CACNG4,CACNG8,CALM1,CAMK1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CASK,CHRNA1,CHRNA2,CHRNA3,CHRNA4,CHRNA5,CHRNA6,CHRNA7,CHRNA9,CHRNB2,CHRNB3,CHRNB4,CHRND,CHRNE,CHRNG,CREB1,DLG1,DLG2,DLG3,DLG4,EPB41L1,ERBB4,GABBR1,GABBR2,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRG2,GABRG3,GABRQ,GABRR1,GABRR2,GABRR3,GIT1,GLRA1,GLRA2,GLRA3,GLRB,GNAI1,GNAI2,GNAI3,GNAL,GNAT3,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,GRIA1,GRIA2,GRIA3,GRIA4,GRIK1,GRIK2,GRIK3,GRIK4,GRIK5,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,GRIN3A,GRIN3B,GRIP1,GRIP2,HRAS,HTR3A,HTR3B,HTR3C,HTR3D,HTR3E,KCNJ10,KCNJ12,KCNJ15,KCNJ16,KCNJ2,KCNJ3,KCNJ4,KCNJ5,KCNJ6,KCNJ9,KIF17,KPNA2,KRAS,LIN7A,LIN7B,LIN7C,LRRC7,MAPK1,MAPK3,MAPT,MDM2,MYO6,NBEA,NCALD,NEFL,NPTN,NRAS,NRG1,NRGN,NSF,PDPK1,PICK1,PLCB1,PLCB2,PLCB3,PPM1E,PPM1F,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKACA,PRKACB,PRKACG,PRKAG1,PRKAG2,PRKAG3,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,PRKCB,PRKCG,PRKX,RAC1,RASGRF1,RASGRF2,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA6,SRC,TSPAN7,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA3D,TUBA3E,TUBA4A,TUBA4B,TUBA8,TUBAL3,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBB8B"
R-HSA-112315,Transmission across Chemical Synapses,"ABAT,ACHE,ACTN2,ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,AKAP5,ALDH2,ALDH5A1,AP2A1,AP2A2,AP2B1,AP2M1,AP2S1,APBA1,ARHGEF7,ARHGEF9,ARL6IP5,BCHE,CACNA1A,CACNA1B,CACNA1E,CACNA2D1,CACNA2D2,CACNA2D3,CACNB1,CACNB2,CACNB3,CACNB4,CACNG2,CACNG3,CACNG4,CACNG8,CALM1,CAMK1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CASK,CHAT,CHRNA1,CHRNA2,CHRNA3,CHRNA4,CHRNA5,CHRNA6,CHRNA7,CHRNA9,CHRNB2,CHRNB3,CHRNB4,CHRND,CHRNE,CHRNG,COMT,CPLX1,CREB1,DLG1,DLG2,DLG3,DLG4,DNAJC5,EPB41L1,ERBB4,GABBR1,GABBR2,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRG2,GABRG3,GABRQ,GABRR1,GABRR2,GABRR3,GAD1,GAD2,GIT1,GLRA1,GLRA2,GLRA3,GLRB,GLS,GLS2,GLUL,GNAI1,GNAI2,GNAI3,GNAL,GNAT3,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,GRIA1,GRIA2,GRIA3,GRIA4,GRIK1,GRIK2,GRIK3,GRIK4,GRIK5,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,GRIN3A,GRIN3B,GRIP1,GRIP2,HRAS,HSPA8,HTR3A,HTR3B,HTR3C,HTR3D,HTR3E,KCNJ10,KCNJ12,KCNJ15,KCNJ16,KCNJ2,KCNJ3,KCNJ4,KCNJ5,KCNJ6,KCNJ9,KIF17,KPNA2,KRAS,LIN7A,LIN7B,LIN7C,LRRC7,MAOA,MAPK1,MAPK3,MAPT,MDM2,MYO6,NAAA,NBEA,NCALD,NEFL,NPTN,NRAS,NRG1,NRGN,NSF,PDPK1,PICK1,PLCB1,PLCB2,PLCB3,PPFIA1,PPFIA2,PPFIA3,PPFIA4,PPM1E,PPM1F,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKACA,PRKACB,PRKACG,PRKAG1,PRKAG2,PRKAG3,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,PRKCB,PRKCG,PRKX,RAB3A,RAC1,RASGRF1,RASGRF2,RIMS1,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA6,SLC17A7,SLC18A2,SLC18A3,SLC1A1,SLC1A2,SLC1A3,SLC1A6,SLC1A7,SLC22A1,SLC22A2,SLC32A1,SLC38A1,SLC38A2,SLC5A7,SLC6A1,SLC6A11,SLC6A12,SLC6A13,SLC6A3,SLC6A4,SNAP25,SRC,STX1A,STXBP1,SYN1,SYN2,SYN3,SYT1,TOMT,TSPAN7,TSPOAP1,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA3D,TUBA3E,TUBA4A,TUBA4B,TUBA8,TUBAL3,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBB8B,UNC13B,VAMP2"
R-HSA-112316,Neuronal System,"ABAT,ABCC8,ABCC9,ACHE,ACTN2,ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,AKAP5,ALDH2,ALDH5A1,AP2A1,AP2A2,AP2B1,AP2M1,AP2S1,APBA1,APBA2,APBA3,ARHGEF7,ARHGEF9,ARL6IP5,BCHE,BEGAIN,CACNA1A,CACNA1B,CACNA1E,CACNA2D1,CACNA2D2,CACNA2D3,CACNB1,CACNB2,CACNB3,CACNB4,CACNG2,CACNG3,CACNG4,CACNG8,CALM1,CAMK1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CASK,CHAT,CHRNA1,CHRNA2,CHRNA3,CHRNA4,CHRNA5,CHRNA6,CHRNA7,CHRNA9,CHRNB2,CHRNB3,CHRNB4,CHRND,CHRNE,CHRNG,COMT,CPLX1,CREB1,DBNL,DLG1,DLG2,DLG3,DLG4,DLGAP1,DLGAP2,DLGAP3,DLGAP4,DNAJC5,EPB41,EPB41L1,EPB41L2,EPB41L3,EPB41L5,ERBB4,FLOT1,FLOT2,GABBR1,GABBR2,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRG2,GABRG3,GABRQ,GABRR1,GABRR2,GABRR3,GAD1,GAD2,GIT1,GJA10,GJC1,GJD2,GLRA1,GLRA2,GLRA3,GLRB,GLS,GLS2,GLUL,GNAI1,GNAI2,GNAI3,GNAL,GNAT3,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,GRIA1,GRIA2,GRIA3,GRIA4,GRIK1,GRIK2,GRIK3,GRIK4,GRIK5,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,GRIN3A,GRIN3B,GRIP1,GRIP2,GRM1,GRM5,HCN1,HCN2,HCN3,HCN4,HOMER1,HOMER2,HOMER3,HRAS,HSPA8,HTR3A,HTR3B,HTR3C,HTR3D,HTR3E,IL1RAP,IL1RAPL1,IL1RAPL2,KCNA1,KCNA10,KCNA2,KCNA3,KCNA4,KCNA5,KCNA6,KCNA7,KCNAB1,KCNAB2,KCNAB3,KCNB1,KCNB2,KCNC1,KCNC2,KCNC3,KCNC4,KCND1,KCND2,KCND3,KCNF1,KCNG1,KCNG2,KCNG3,KCNG4,KCNH1,KCNH2,KCNH3,KCNH4,KCNH5,KCNH6,KCNH7,KCNH8,KCNJ1,KCNJ10,KCNJ11,KCNJ12,KCNJ14,KCNJ15,KCNJ16,KCNJ2,KCNJ3,KCNJ4,KCNJ5,KCNJ6,KCNJ8,KCNJ9,KCNK1,KCNK10,KCNK13,KCNK16,KCNK17,KCNK18,KCNK2,KCNK3,KCNK4,KCNK6,KCNK7,KCNK9,KCNMA1,KCNMB1,KCNMB2,KCNMB3,KCNMB4,KCNN1,KCNN2,KCNN3,KCNN4,KCNQ1,KCNQ2,KCNQ3,KCNQ4,KCNQ5,KCNS1,KCNS2,KCNS3,KCNV1,KCNV2,KIF17,KPNA2,KRAS,LIN7A,LIN7B,LIN7C,LRFN1,LRFN2,LRFN3,LRFN4,LRRC4B,LRRC7,LRRTM1,LRRTM2,LRRTM3,LRRTM4,MAOA,MAPK1,MAPK3,MAPT,MDM2,MYO6,NAAA,NBEA,NCALD,NEFL,NLGN1,NLGN2,NLGN3,NLGN4X,NLGN4Y,NPTN,NRAS,NRG1,NRGN,NRXN1,NRXN2,NRXN3,NSF,NTRK3,PANX1,PANX2,PDLIM5,PDPK1,PICK1,PLCB1,PLCB2,PLCB3,PPFIA1,PPFIA2,PPFIA3,PPFIA4,PPFIBP1,PPFIBP2,PPM1E,PPM1F,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKACA,PRKACB,PRKACG,PRKAG1,PRKAG2,PRKAG3,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,PRKCB,PRKCG,PRKX,PTPRD,PTPRF,PTPRS,RAB3A,RAC1,RASGRF1,RASGRF2,RIMS1,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA6,RTN3,SHANK1,SHANK2,SHANK3,SHARPIN,SIPA1L1,SLC17A7,SLC18A2,SLC18A3,SLC1A1,SLC1A2,SLC1A3,SLC1A6,SLC1A7,SLC22A1,SLC22A2,SLC32A1,SLC38A1,SLC38A2,SLC5A7,SLC6A1,SLC6A11,SLC6A12,SLC6A13,SLC6A3,SLC6A4,SLITRK1,SLITRK2,SLITRK3,SLITRK4,SLITRK5,SLITRK6,SNAP25,SRC,STX1A,STXBP1,SYN1,SYN2,SYN3,SYT1,SYT10,SYT12,SYT2,SYT7,SYT9,TOMT,TSPAN7,TSPOAP1,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA3D,TUBA3E,TUBA4A,TUBA4B,TUBA8,TUBAL3,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBB8B,UNC13B,VAMP2"
