Pathway_ID,Pathway_Name,Genes
R-HSA-194138,Signaling by VEGF,"AAMP,ABI1,ABI2,ACTB,ACTG1,AHCYL1,AKT1,AKT2,AKT3,AXL,BAIAP2,BCAR1,BRK1,CALM1,CAV1,CDC42,CDH5,CRK,CTNNA1,CTNNB1,CTNND1,CYBA,CYBB,CYFIP1,CYFIP2,DOCK1,ELMO1,ELMO2,FLT1,FLT4,FYN,HRAS,HSP90AA1,HSPB1,ITGAV,ITGB3,ITPR1,ITPR2,ITPR3,JUP,KDR,KRAS,M,MAPK11,MAPK12,MAPK13,MAPK14,MAPKAP1,MAPKAPK2,MAPKAPK3,MLST8,MTOR,N,NCF1,NCF2,NCF4,NCK1,NCK2,NCKAP1,NCKAP1L,NOS3,NRAS,NRP1,NRP2,PAK1,PAK2,PAK3,PDPK1,PGF,PIK3CA,PIK3CB,PIK3R1,PIK3R2,PLCG1,PRKACA,PRKACB,PRKACG,PRKCA,PRKCB,PRKCD,PRKCZ,PRR5,PTK2,PTK2B,PXN,RAC1,RASA1,RHOA,RICTOR,ROCK1,ROCK2,SH2D2A,SHB,SHC2,SPHK1,SRC,THEM4,TRIB3,VAV1,VAV2,VAV3,VEGFA,VEGFB,VEGFC,VEGFD,WASF1,WASF2,WASF3"
R-HSA-195253,Degradation of beta-catenin by the destruction complex,"ADRM1,AMER1,APC,AXIN1,AXIN2,BTRC,CSNK1A1,CTBP1,CTBP2,CTNNB1,CUL1,FRAT1,FRAT2,GSK3B,HDAC1,LEF1,MYC,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,RBX1,RPS27A,SEM1,SKP1,TCF7,TCF7L1,TCF7L2,TLE1,TLE2,TLE3,TLE4,TLE5,UBA52,UBB,UBC,ZRANB1"
R-HSA-195258,RHO GTPase Effectors,"ABI1,ABI2,ABL1,ACTB,ACTG1,ACTR2,ACTR3,AHCTF1,AR,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,AURKB,B9D2,BAIAP2,BIRC5,BRK1,BTK,BUB1,BUB1B,BUB3,CALM1,CDC20,CDC25C,CDC42,CDCA8,CDH1,CDKN1B,CENPA,CENPC,CENPE,CENPF,CENPH,CENPI,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPS,CENPT,CENPU,CFL1,CFTR,CIT,CKAP5,CLASP1,CLASP2,CLIP1,CTNNA1,CTNNB1,CTTN,CYBA,CYBB,CYFIP1,CYFIP2,DAAM1,DIAPH1,DIAPH2,DIAPH3,DLG4,DSN1,DVL1,DVL2,DVL3,DYNC1H1,DYNC1I1,DYNC1I2,DYNC1LI1,DYNC1LI2,DYNLL1,DYNLL2,ERCC6L,EVL,FLNA,FMNL1,FMNL2,FMNL3,GOPC,GRB2,H2AB1,H2AC14,H2AC18,H2AC20,H2AC4,H2AC6,H2AC7,H2AJ,H2AX,H2AZ2,H2BC1,H2BC11,H2BC12,H2BC12L,H2BC13,H2BC14,H2BC15,H2BC17,H2BC21,H2BC26,H2BC3,H2BC4,H2BC5,H2BC9,H3-3A,H3C1,H3C15,H4C1,INCENP,IQGAP1,IQGAP2,IQGAP3,ITGB1,ITGB3BP,KDM1A,KDM4C,KIF14,KIF18A,KIF2A,KIF2B,KIF2C,KIF5A,KIF5B,KLC1,KLC2,KLC3,KLC4,KLK2,KLK3,KNL1,KNTC1,KTN1,LIMK1,LIMK2,LIN7B,MAD1L1,MAD2L1,MAPK1,MAPK11,MAPK14,MAPK3,MAPRE1,MEN1,MIS12,MRTFA,MYH10,MYH11,MYH14,MYH9,MYL12B,MYL6,MYL9,MYLK,NCF1,NCF2,NCF4,NCK1,NCKAP1,NCKAP1L,NCKIPSD,NCOA2,NDC80,NDE1,NDEL1,NF2,NOX1,NOX3,NOXA1,NOXO1,NSL1,NUDC,NUF2,NUP107,NUP133,NUP160,NUP37,NUP43,NUP85,NUP98,PAFAH1B1,PAK1,PAK2,PAK3,PDPK1,PFN1,PFN2,PIK3C3,PIK3R4,PIN1,PKN1,PKN2,PKN3,PLK1,PMF1,PPP1CB,PPP1CC,PPP1R12A,PPP1R12B,PPP1R14A,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PRC1,PRKCA,PRKCB,PRKCD,PRKCZ,PTK2,RAC1,RAC2,RANBP2,RANGAP1,RCC2,RHOA,RHOB,RHOC,RHOD,RHOG,RHOQ,RHPN1,RHPN2,ROCK1,ROCK2,ROPN1,RPS27,RTKN,S100A8,S100A9,SCAI,SEC13,SEH1L,SFN,SGO1,SGO2,SKA1,SKA2,SPC24,SPC25,SPDL1,SRC,SRF,SRGAP2,TAOK1,TAX1BP3,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA3D,TUBA3E,TUBA4A,TUBA4B,TUBA8,TUBAL3,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBB8B,WAS,WASF1,WASF2,WASF3,WASL,WIPF1,WIPF2,WIPF3,XPO1,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,ZW10,ZWILCH,ZWINT"
R-HSA-195721,Signaling by WNT,"ADRM1,AGO1,AGO2,AGO3,AGO4,AKT1,AKT2,AMER1,AP2A1,AP2A2,AP2B1,AP2M1,AP2S1,APC,ARRB2,ASH2L,AXIN1,AXIN2,BCL9,BCL9L,BTRC,CALM1,CAMK2A,CAV1,CBY1,CCDC88C,CDC73,CHD8,CLTA,CLTB,CLTC,CREBBP,CSNK1A1,CSNK1E,CSNK1G2,CSNK2A1,CSNK2A2,CSNK2B,CTBP1,CTBP2,CTNNB1,CTNNBIP1,CUL1,CUL3,CXXC4,DAAM1,DACT1,DKK1,DKK2,DKK4,DPY30,DVL1,DVL2,DVL3,EP300,FRAT1,FRAT2,FZD1,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,GNAO1,GNAT2,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,GSK3B,H2AB1,H2AC14,H2AC18,H2AC20,H2AC4,H2AC6,H2AC7,H2AJ,H2AX,H2AZ2,H2BC1,H2BC11,H2BC12,H2BC12L,H2BC13,H2BC14,H2BC15,H2BC17,H2BC21,H2BC26,H2BC3,H2BC4,H2BC5,H2BC9,H3-3A,H3-4,H3C1,H3C15,H4C1,HDAC1,HECW1,ITPR1,ITPR2,ITPR3,KAT5,KLHL12,KMT2B,KRAS,KREMEN1,KREMEN2,LEF1,LEO1,LGR4,LGR5,LGR6,LRP5,LRP6,MAP3K7,MEN1,MIR92b,MOV10,MYC,NFATC1,NLK,PARD6A,PDE6A,PDE6B,PDE6G,PFN1,PIP5K1B,PLCB1,PLCB2,PLCB3,PORCN,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PPP3CA,PPP3CB,PPP3R1,PRICKLE1,PRKCA,PRKCB,PRKCG,PRKG1,PRKG2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,PYGO1,PYGO2,RAC1,RAC2,RAC3,RBBP5,RBX1,RHOA,RNF146,RNF43,ROR1,ROR2,RPS27A,RSPO1,RSPO2,RSPO3,RSPO4,RUNX3,RUVBL1,RYK,SCRIB,SEM1,SFRP1,SFRP2,SKP1,SMARCA4,SMURF1,SMURF2,SNX3,SOST,SOX13,SOX17,SOX2,SOX3,SOX4,SOX6,SOX7,SOX9,SRY,TCF4,TCF7,TCF7L1,TCF7L2,TERT,TLE1,TLE2,TLE3,TLE4,TLE5,TMED5,TNKS,TNKS2,TNRC6A,TNRC6B,TNRC6C,TRRAP,UBA52,UBB,UBC,USP34,USP8,VANGL2,VPS26A,VPS29,VPS35,WDR5,WIF1,WLS,WNT1,WNT10A,WNT10B,WNT11,WNT16,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT5A,WNT5B,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B,XIAP,XPO1,YWHAZ,ZNRF3,ZRANB1"
R-HSA-196071,Metabolism of steroid hormones,"AKR1B1,AKR1B15,CGA,CYP11A1,CYP11B1,CYP11B2,CYP17A1,CYP19A1,CYP21A2,FDX1,FDX2,FDXR,HSD11B1,HSD11B2,HSD17B1,HSD17B11,HSD17B12,HSD17B14,HSD17B2,HSD17B3,HSD3B1,HSD3B2,LHB,POMC,SERPINA6,SRD5A1,SRD5A2,SRD5A3,STAR,STARD3,STARD3NL,STARD4,STARD6,STS,TSPO,TSPOAP1"
R-HSA-196299,Beta-catenin phosphorylation cascade,"AMER1,APC,AXIN1,CSNK1A1,CTNNB1,FRAT1,FRAT2,GSK3B,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E"
R-HSA-1963640,GRB2 events in ERBB2 signaling,"BTC,EGF,EGFR,ERBB2,ERBB4,EREG,GRB2,HBEGF,HRAS,KRAS,NRAS,NRG1,NRG2,NRG3,NRG4,SOS1"
R-HSA-1963642,PI3K events in ERBB2 signaling,"BTC,EGF,EGFR,ERBB2,ERBB3,ERBB4,EREG,GAB1,GRB2,HBEGF,NRG1,NRG2,NRG3,NRG4,PIK3CA,PIK3R1"
R-HSA-196741,"Cobalamin (Cbl, vitamin B12) transport and metabolism","ABCC1,ABCD4,AMN,CBLIF,CD320,CTRB1,CTRB2,CUBN,LDLRAP1,LMBRD1,LRP2,MMAA,MMAB,MMACHC,MMADHC,MMUT,MTR,MTRR,PRSS1,PRSS3,TCN1,TCN2"
R-HSA-196757,Metabolism of folate and pterines,"ALDH1L1,ALDH1L2,DHFR,DHFR2,FOLR2,FPGS,MTHFD1,MTHFD1L,MTHFD2,MTHFD2L,MTHFR,MTHFS,SHMT1,SHMT2,SLC19A1,SLC25A32,SLC46A1"
R-HSA-196807,Nicotinate metabolism,"BST1,CD38,NADK,NADK2,NADSYN1,NAMPT,NAPRT,NAXD,NAXE,NMNAT1,NMNAT2,NMNAT3,NMRK1,NMRK2,NNMT,NT5E,NUDT12,PARP10,PARP14,PARP16,PARP4,PARP6,PARP8,PARP9,QPRT,RNLS,SLC22A13,SLC25A51,SLC5A8"
R-HSA-196849,Metabolism of water-soluble vitamins and cofactors,"AASDHPPT,ABCC1,ABCD4,ACACA,ACACB,ACP5,ALDH1L1,ALDH1L2,AMN,AOX1,BST1,BTD,CBLIF,CD320,CD38,COASY,CTRB1,CTRB2,CUBN,CYB5A,CYB5R3,DCAKD,DHFR,DHFR2,ENPP1,ENPP2,ENPP3,FASN,FLAD1,FOLR2,FPGS,GPHN,GSTO1,GSTO2,HLCS,LDLRAP1,LMBRD1,LRP2,MCCC1,MCCC2,MMAA,MMAB,MMACHC,MMADHC,MMUT,MOCOS,MOCS1,MOCS2,MOCS3,MTHFD1,MTHFD1L,MTHFD2,MTHFD2L,MTHFR,MTHFS,MTR,MTRR,NADK,NADK2,NADSYN1,NAMPT,NAPRT,NAXD,NAXE,NFS1,NMNAT1,NMNAT2,NMNAT3,NMRK1,NMRK2,NNMT,NT5E,NUDT12,NUDT8,PANK1,PANK2,PANK3,PANK4,PARP10,PARP14,PARP16,PARP4,PARP6,PARP8,PARP9,PC,PCCA,PCCB,PDXK,PDZD11,PNPO,PPCDC,PPCS,PRSS1,PRSS3,QPRT,RFK,RNLS,SHMT1,SHMT2,SLC19A1,SLC19A2,SLC19A3,SLC22A13,SLC23A1,SLC23A2,SLC25A16,SLC25A19,SLC25A32,SLC25A42,SLC25A51,SLC2A1,SLC2A3,SLC46A1,SLC52A1,SLC52A2,SLC52A3,SLC5A6,SLC5A8,TCN1,TCN2,THTPA,TPK1,VNN1,VNN2"
R-HSA-196854,Metabolism of vitamins and cofactors,"AASDHPPT,ABCC1,ABCD4,ACACA,ACACB,ACO1,ACP5,AGRN,AKR1B10,AKR1C1,AKR1C3,AKR1C4,AKT1,ALDH1L1,ALDH1L2,AMN,AOX1,APOA1,APOA2,APOA4,APOB,APOC2,APOC3,APOE,APOM,BCO1,BCO2,BST1,BTD,CALM1,CBLIF,CD320,CD38,CLPS,COASY,COQ2,COQ3,COQ4,COQ5,COQ6,COQ7,COQ8A,COQ8B,COQ9,CTRB1,CTRB2,CUBN,CYB5A,CYB5R3,DCAKD,DHFR,DHFR2,ENPP1,ENPP2,ENPP3,FASN,FLAD1,FOLR2,FPGS,GCH1,GCHFR,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,GPHN,GPIHBP1,GSTO1,GSTO2,HLCS,HPDL,HSP90AA1,HSPG2,IDH1,LDLR,LDLRAP1,LMBRD1,LPL,LRAT,LRP1,LRP10,LRP12,LRP2,LRP8,MCCC1,MCCC2,MMAA,MMAB,MMACHC,MMADHC,MMUT,MOCOS,MOCS1,MOCS2,MOCS3,MTHFD1,MTHFD1L,MTHFD2,MTHFD2L,MTHFR,MTHFS,MTR,MTRR,NADK,NADK2,NADSYN1,NAMPT,NAPRT,NAXD,NAXE,NFS1,NMNAT1,NMNAT2,NMNAT3,NMRK1,NMRK2,NNMT,NOS3,NT5E,NUDT12,NUDT8,PANK1,PANK2,PANK3,PANK4,PARP10,PARP14,PARP16,PARP4,PARP6,PARP8,PARP9,PC,PCCA,PCCB,PDSS1,PDSS2,PDXK,PDZD11,PLB1,PNLIP,PNPO,PPCDC,PPCS,PRKG2,PRSS1,PRSS3,PTS,QPRT,RBP1,RBP2,RBP4,RDH11,RETSAT,RFK,RNLS,SDC1,SDC2,SDC3,SDC4,SHMT1,SHMT2,SLC19A1,SLC19A2,SLC19A3,SLC22A13,SLC23A1,SLC23A2,SLC25A16,SLC25A19,SLC25A32,SLC25A42,SLC25A51,SLC2A1,SLC2A3,SLC46A1,SLC52A1,SLC52A2,SLC52A3,SLC5A6,SLC5A8,SPR,STARD7,TCN1,TCN2,THTPA,TPK1,TTPA,TTR,UBIAD1,VKORC1,VKORC1L1,VNN1,VNN2"
R-HSA-1971475,Glycosaminoglycan-protein linkage region biosynthesis,"AGRN,B3GALT6,B3GAT1,B3GAT2,B3GAT3,B4GALT7,BCAN,BGN,CSPG4,CSPG5,DCN,FAM20B,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,HSPG2,NCAN,PXYLP1,SDC1,SDC2,SDC3,SDC4,UXS1,VCAN,XYLT1,XYLT2"
R-HSA-1980143,Signaling by NOTCH1,"ADAM10,ADAM17,APH1A,APH1B,ARRB1,ARRB2,CCNC,CDK8,CNTN1,CREBBP,CUL1,DLK1,DLL1,DLL4,DNER,DTX1,DTX2,DTX4,EP300,FBXW7,HDAC1,HDAC10,HDAC11,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,HES1,HES5,HEY1,HEY2,HEYL,HIF1A,ITCH,JAG1,JAG2,KAT2A,KAT2B,MAML1,MAML2,MAML3,MAMLD1,MIB1,MIB2,MYC,NBEA,NCOR1,NCOR2,NCSTN,NEURL1,NEURL1B,NOTCH1,NUMB,PSEN1,PSEN2,PSENEN,RBPJ,RBX1,RPS27A,SKP1,SNW1,TBL1X,TBL1XR1,TLE1,TLE2,TLE3,TLE4,UBA52,UBB,UBC"
R-HSA-1980145,Signaling by NOTCH2,"ADAM10,APH1A,APH1B,CNTN1,CREB1,DLL1,DLL4,EP300,FCER2,GZMB,HES1,HES5,JAG1,JAG2,MAML1,MAML2,MAML3,MAMLD1,MDK,MIB1,MIB2,NCSTN,NEURL1,NEURL1B,NOTCH2,NOTCH2NLA,NOTCH2NLB,NOTCH2NLC,PSEN1,PSEN2,PSENEN,RBPJ,RPS27A,UBA52,UBB,UBC"
R-HSA-198725,Nuclear Events (kinase and transcription factor activation),"ARC,ASCL1,ATF1,ATF2,CDK5,CDK5R1,CDK5R2,CHD4,CREB1,DNM2,DUSP3,DUSP4,DUSP6,DUSP7,EGR1,EGR2,EGR3,EGR4,ELK1,EP300,F3,FOS,FOSB,FOSL1,ID1,ID2,ID3,ID4,JUNB,JUND,LYL1,MAPK1,MAPK11,MAPK14,MAPK3,MAPK7,MAPKAPK2,MEF2A,MEF2C,MEF2D,NAB1,NAB2,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5D,REST,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA5,RRAD,SGK1,SH3GL3,SRF,TCF12,TPH1,TRIB1,VGF,VRK3"
R-HSA-198753,ERK/MAPK targets,"DUSP3,DUSP4,DUSP6,DUSP7,ELK1,MAPK1,MAPK11,MAPK14,MAPK3,MAPK7,MEF2A,MEF2C,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5D,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA5,VRK3"
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,"B2M,C3,CD160,CD19,CD1A,CD1B,CD1C,CD1D,CD200,CD200R1,CD22,CD226,CD247,CD300A,CD300C,CD300E,CD300LB,CD300LD,CD300LF,CD300LG,CD33,CD34,CD3D,CD3E,CD3G,CD40,CD40LG,CD81,CD8A,CD8B,CD96,CD99,CDH1,CLEC2B,CLEC2D,CLEC4G,COL17A1,COL1A1,COL1A2,COL2A1,COL3A1,COLEC12,CRTAM,CXADR,FCGR1A,FCGR2B,FCGR3A,GLYCAM1,HA,HCST,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,HLA-H,HN,ICAM1,ICAM2,ICAM3,ICAM4,ICAM5,IFITM1,IGHV,IGHV1-2,IGHV1-46,IGHV1-69,IGHV2-5,IGHV2-70,IGHV3-11,IGHV3-13,IGHV3-23,IGHV3-30,IGHV3-33,IGHV3-48,IGHV3-53,IGHV3-7,IGHV3-9,IGHV4-34,IGHV4-39,IGHV4-59,IGHV7-81,IGKC,IGKV1-12,IGKV1-16,IGKV1-17,IGKV1-33,IGKV1-39,IGKV1-5,IGKV1D-12,IGKV1D-16,IGKV1D-33,IGKV1D-39,IGKV2-28,IGKV2-29,IGKV2-30,IGKV2D-28,IGKV2D-30,IGKV2D-40,IGKV3-11,IGKV3-15,IGKV3-20,IGKV3D-20,IGKV4-1,IGKV5-2,IGLC1,IGLC2,IGLC3,IGLC6,IGLC7,IGLV,IGLV1-36,IGLV1-40,IGLV1-44,IGLV1-47,IGLV1-51,IGLV10-54,IGLV11-55,IGLV2-11,IGLV2-14,IGLV2-18,IGLV2-23,IGLV2-33,IGLV2-8,IGLV3-1,IGLV3-12,IGLV3-16,IGLV3-19,IGLV3-21,IGLV3-22,IGLV3-25,IGLV3-27,IGLV4-3,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-45,IGLV6-57,IGLV7-43,IGLV7-46,IGLV8-61,ITGA4,ITGAL,ITGB1,ITGB2,ITGB7,JAML,KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL4,KIR2DS1,KIR2DS2,KIR3DL1,KIR3DL2,KLRB1,KLRC1,KLRD1,KLRF1,KLRG1,KLRK1,LAIR1,LAIR2,LILRA1,LILRA2,LILRA3,LILRA4,LILRA5,LILRA6,LILRB1,LILRB2,LILRB3,LILRB4,LILRB5,MADCAM1,MICA,MICB,NCR1,NCR2,NCR3,NCR3LG1,NECTIN2,NPDC1,OSCAR,PIANP,PILRA,PILRB,PVR,RAET1E,SELL,SFTPD,SH2D1A,SH2D1B,SIGLEC1,SIGLEC10,SIGLEC11,SIGLEC12,SIGLEC5,SIGLEC6,SIGLEC7,SIGLEC8,SIGLEC9,SLAMF6,SLAMF7,TRAC,TRAV19,TRAV29DV5,TRAV8-4,TRBC1,TRBV12-3,TRBV7-9,TREM1,TREM2,TREML1,TREML2,TREML4,TYROBP,UL83,ULBP1,ULBP3,VCAM1,cd21"
R-HSA-1989781,PPARA activates gene expression,"ABCA1,ABCB4,ACADM,ACOX1,ACSL1,AGT,AHR,AHRR,ALAS1,ANGPTL4,ANKRD1,APOA1,APOA2,APOA5,ARNT,ARNT2,BMAL1,CARM1,CCNC,CD36,CDK19,CDK8,CHD9,CLOCK,CPT1A,CPT2,CREBBP,CYP1A1,CYP4A11,CYP7A1,EP300,ESRRA,FABP1,FADS1,FAM120B,FDFT1,FHL2,G0S2,GLIPR1,GPS2,GRHL1,HDAC3,HELZ2,HMGCR,HMGCS1,HMGCS2,ME1,MED1,MED10,MED11,MED12,MED13,MED13L,MED14,MED15,MED16,MED17,MED18,MED19,MED20,MED21,MED22,MED23,MED24,MED25,MED26,MED27,MED28,MED29,MED30,MED31,MED4,MED6,MED7,MED8,MED9,MTF1,NCOA1,NCOA2,NCOA3,NCOA6,NCOR1,NCOR2,NFYA,NFYB,NFYC,NPAS2,NR1D1,NR1H2,NR1H3,NR1H4,NRF1,PEX11A,PLIN2,PPARA,PPARG,PPARGC1A,PPARGC1B,RGL1,RORA,RXRA,RXRB,SLC27A1,SMARCD3,SP1,SREBF1,SREBF2,SULT2A1,TBL1X,TBL1XR1,TGS1,THRAP3,TIAM2,TNFRSF21,TRIB3,TXNRD1,UGT1A9"
R-HSA-199220,Vitamin B5 (pantothenate) metabolism,"AASDHPPT,COASY,DCAKD,ENPP1,ENPP2,ENPP3,FASN,NUDT8,PANK1,PANK2,PANK3,PANK4,PDZD11,PPCDC,PPCS,SLC25A16,SLC25A42,SLC5A6,VNN1,VNN2"
R-HSA-199418,Negative regulation of the PI3K/AKT network,"AKT1,AKT2,AKT3,AREG,BDNF,BTC,CD19,CD28,CD80,CD86,EGF,EGFR,EPGN,ERBB2,ERBB3,ERBB4,EREG,ESR1,ESR2,FGF1,FGF10,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,FLT3,FLT3LG,FRS2,FYN,GAB1,GAB2,GRB2,HBEGF,HGF,ICOS,IER3,IL1RAP,IL1RL1,IL33,INS,INSR,IRAK1,IRAK4,IRS1,IRS2,KIT,KITLG,KL,KLB,LCK,MAPK1,MAPK3,MET,MYD88,NRG1,NRG2,NRG3,NRG4,NTF3,NTF4,NTRK2,NTRK3,PDGFA,PDGFB,PDGFRA,PDGFRB,PHLPP1,PHLPP2,PIK3AP1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PIK3R6,PIP4K2A,PIP4K2B,PIP4K2C,PIP5K1A,PIP5K1B,PIP5K1C,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PTEN,PTPN11,RAC1,RAC2,RHOG,SRC,STRN,TGFA,THEM4,TRAF6,TRAT1,TRIB3,VAV1"
R-HSA-199977,ER to Golgi Anterograde Transport,"ACTR10,ACTR1A,ANK1,ANK2,ANK3,ANKRD28,ARCN1,AREG,ARF1,ARF3,ARF4,ARF5,ARFGAP1,ARFGAP2,ARFGAP3,BET1,BET1L,CAPZA1,CAPZA2,CAPZA3,CAPZB,CD55,CD59,CNIH1,CNIH2,CNIH3,COG1,COG2,COG3,COG4,COG5,COG6,COG7,COG8,COL7A1,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,COPZ2,CSNK1D,CTSC,CTSZ,DCTN1,DCTN2,DCTN3,DCTN4,DCTN5,DCTN6,DYNC1H1,DYNC1I1,DYNC1I2,DYNC1LI1,DYNC1LI2,DYNLL1,DYNLL2,F5,F8,FOLR1,GBF1,GOLGA2,GOLGB1,GORASP1,GOSR1,GOSR2,GRIA1,INS,KDELR1,KDELR2,KDELR3,LMAN1,LMAN1L,LMAN2,LMAN2L,MCFD2,MIA2,MIA3,NAPA,NAPB,NAPG,NSF,PPP6C,PPP6R1,PPP6R3,PREB,RAB1A,RAB1B,SAR1B,SCFD1,SEC13,SEC16A,SEC16B,SEC22A,SEC22B,SEC22C,SEC23A,SEC23IP,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SEC31B,SERPINA1,SPTA1,SPTAN1,SPTB,SPTBN1,SPTBN2,SPTBN4,SPTBN5,STX17,STX5,TBC1D20,TFG,TGFA,TMED10,TMED2,TMED3,TMED7,TMED9,TMEM115,TRAPPC1,TRAPPC10,TRAPPC2,TRAPPC2L,TRAPPC3,TRAPPC4,TRAPPC5,TRAPPC6A,TRAPPC6B,TRAPPC9,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA3D,TUBA3E,TUBA4A,TUBA4B,TUBA8,TUBAL3,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBB8B,USO1,YKT6"
R-HSA-199992,trans-Golgi Network Vesicle Budding,"ACBD3,AP1B1,AP1G1,AP1G2,AP1M1,AP1M2,AP1S1,AP1S2,AP1S3,AP3B1,AP3S1,AP4B1,AP4E1,AP4M1,AP4S1,APP,ARF1,ARRB1,BLOC1S1,BLOC1S3,BLOC1S4,BLOC1S6,CHMP2A,CLINT1,CLTA,CLTB,CLTC,CLVS1,CLVS2,CPD,CTSZ,DNAJC6,DNASE2,DNM2,DTNBP1,FTH1,FTL,GAK,GBF1,GNS,GOLGB1,HGS,HIP1R,HSPA8,IGF2R,M6PR,NAPA,NECAP1,OCRL,PICALM,PIK3C2A,PUM1,RAB5C,SH3D19,SH3GL2,SNAP23,SNAPIN,SNX2,SNX5,SNX9,SORT1,STX4,TBC1D8B,TFRC,TGOLN2,TPD52,TPD52L1,TXNDC5,VAMP2,VAMP7,VAMP8,YIPF6"
R-HSA-201451,Signaling by BMP,"ACVR2A,ACVR2B,ACVRL1,AMH,AMHR2,BMP10,BMP2,BMPR1A,BMPR1B,BMPR2,CER1,CHRDL1,FSTL1,GDF2,GREM2,INHA,INHBA,NOG,SKI,SMAD1,SMAD4,SMAD5,SMAD6,SMAD7,SMAD9,SMURF1,SMURF2,TGFBR3,UBE2D1,UBE2D3,ZFYVE16"
R-HSA-201556,Signaling by ALK,"ALK,ALKAL1,ALKAL2,CD274,DNMT1,EP300,FRS2,HDAC1,HDAC2,HDAC3,HIF1A,IL2RG,IRS1,JAK3,MDK,MYC,MYCN,PIK3CA,PIK3CB,PIK3R1,PIK3R2,PLCG1,PRDM1,PTN,PTPN6,PTPRZ1,SHC1,SIN3A,SRC,STAT3"
