slug,venue,title,github_repo,all_github_repos,repo_status
9W6KaAcYlr,ICLR 2024 poster,Most discriminative stimuli for functional cell type clustering,https://github.com/ecker-lab/most-discriminative-stimuli,https://github.com/ecker-lab/most-discriminative-stimuli,live
9htTvHkUhh,ICLR 2025 Poster,Beyond Sequence: Impact of Geometric Context for RNA Property Prediction,,,
9qzpNSTUYp,ICML 2025 poster,Reward-Guided Iterative Refinement in Diffusion Models at Test-Time with Applications to Protein and DNA Design,https://github.com/masa-ue/ProDifEvo-Refinement,https://github.com/masa-ue/ProDifEvo-Refinement;https://github.com/masa-ue/ProDifEvo-,live
A9hJvQHEEP,ICML 2024 Poster,Quantum Theory and Application of Contextual Optimal Transport,,,
AFZeojzjoG,ICLR 2026 Poster,PatchDNA: A Flexible and Biologically-Informed Alternative to Tokenization for DNA,https://github.com/qiaoqiaoLF/MxDNA,https://github.com/qiaoqiaoLF/MxDNA;https://github.com/RelationRx/patchDNA;https://github.com/kundajelab/DART-Eval,live
AJls43yje7,ICLR 2026 Poster,Multi-Marginal Flow Matching with Adversarially Learnt Interpolants,https://github.com/kkapusniak/metric-flow-matching,https://github.com/kkapusniak/metric-flow-matching;https://github.com/KrishnaswamyLab/TrajectoryNet;https://github.com/mmacosha/adversarially-learned-interpolants,live
ATvN9JnqZ8,ICML 2024 Poster,Generative Enzyme Design Guided by Functionally Important Sites and Small-Molecule Substrates,https://github.com/LeiLiLab/EnzyGen,https://github.com/LeiLiLab/EnzyGen,live
Ada9Z68nvb,ICML 2024 Poster,Deciphering RNA Secondary Structure Prediction: A Probabilistic K-Rook Matching Perspective,https://github.com/A4Bio/RFold,https://github.com/A4Bio/RFold,live
B07dLVWLyD,ICLR 2025 Poster,Revisiting Convolution Architecture in the Realm of DNA Foundation Models,https://github.com/aim-uofa/ConvNova,https://github.com/aim-uofa/ConvNova,live
BEH4mGo7zP,ICLR 2024 poster,"Pre-training Sequence, Structure, and Surface Features for Comprehensive Protein Representation Learning",,,
BKXvPDekud,ICLR 2024 poster,CellPLM: Pre-training of Cell Language Model Beyond Single Cells,https://github.com/OmicsML/CellPLM,https://github.com/OmicsML/CellPLM,live
