dataset,model,fold,macro_f1,accuracy,n_test
Baron,CIForm,1,97.40824158059479,99.12485414235705,1714.0
Baron,CIForm,2,99.42665027048069,99.18319719953325,1714.0
Baron,CIForm,3,93.84880291628785,98.65810968494749,1714.0
Baron,CIForm,4,97.61929989166292,98.65810968494749,1714.0
Baron,CIForm,5,97.02695999198345,99.00758902510216,1713.0
Baron,CIForm,mean,97.06599093020195,98.92637194737748,8569.0
Baron,CIForm,std,1.8081936271529861,0.22622108145397765,
